                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.1994,                 1.0557,                  1.137,                0.65241,                0.55639,                0.59117,                0.41027,                 1.1218,                0.88991,                 1.1133,               0.005875,               0.005875,               0.005875
                    127,                 1.1923,                 1.0492,                 1.1342,                0.65274,                0.55416,                0.59227,                0.41053,                 1.1215,                0.88974,                 1.1131,               0.005842,               0.005842,               0.005842
                    128,                 1.1959,                   1.05,                 1.1362,                0.64833,                0.55083,                0.59042,                0.41056,                 1.1214,                0.88911,                 1.1133,               0.005809,               0.005809,               0.005809
                    129,                 1.1937,                 1.0499,                 1.1351,                 0.6495,                0.55103,                0.59109,                 0.4114,                 1.1212,                0.88849,                 1.1131,               0.005776,               0.005776,               0.005776
                    130,                 1.1969,                 1.0482,                 1.1379,                0.64161,                0.55701,                0.59256,                0.41145,                 1.1205,                0.88772,                 1.1125,               0.005743,               0.005743,               0.005743
                    131,                 1.1932,                 1.0457,                 1.1327,                0.64509,                0.55546,                0.59335,                0.41197,                 1.1206,                 0.8874,                 1.1124,                0.00571,                0.00571,                0.00571
                    132,                 1.1956,                 1.0476,                 1.1345,                0.66057,                0.55448,                0.59369,                 0.4117,                 1.1203,                0.88701,                 1.1121,               0.005677,               0.005677,               0.005677
                    133,                 1.1898,                 1.0427,                 1.1325,                0.65247,                0.55775,                0.59439,                 0.4123,                 1.1203,                0.88639,                 1.1122,               0.005644,               0.005644,               0.005644
                    134,                 1.1907,                 1.0431,                 1.1328,                0.65238,                0.55867,                 0.5948,                0.41317,                 1.1201,                0.88568,                 1.1119,               0.005611,               0.005611,               0.005611
                    135,                 1.1858,                 1.0396,                 1.1325,                0.65519,                0.55676,                0.59486,                0.41321,                 1.1203,                0.88518,                 1.1119,               0.005578,               0.005578,               0.005578
                    136,                 1.1882,                 1.0441,                  1.132,                0.65286,                0.56013,                0.59512,                0.41301,                 1.1202,                0.88496,                 1.1117,               0.005545,               0.005545,               0.005545
                    137,                 1.1887,                 1.0472,                 1.1313,                0.64005,                0.56193,                0.59522,                0.41262,                 1.1197,                0.88481,                 1.1113,               0.005512,               0.005512,               0.005512
                    138,                 1.1931,                 1.0415,                 1.1332,                0.64158,                0.56226,                0.59521,                0.41317,                 1.1195,                0.88435,                 1.1113,               0.005479,               0.005479,               0.005479
                    139,                  1.187,                  1.038,                 1.1291,                0.64186,                0.56251,                 0.5951,                0.41324,                 1.1192,                0.88421,                  1.111,               0.005446,               0.005446,               0.005446
                    140,                 1.1908,                 1.0393,                  1.132,                0.64136,                0.56197,                0.59522,                0.41345,                 1.1191,                0.88404,                 1.1108,               0.005413,               0.005413,               0.005413
                    141,                 1.1863,                 1.0357,                 1.1272,                0.64689,                0.56065,                0.59568,                0.41266,                 1.1187,                0.88351,                 1.1104,                0.00538,                0.00538,                0.00538
                    142,                 1.1899,                 1.0419,                 1.1315,                0.63751,                0.56461,                0.59534,                0.41361,                 1.1182,                0.88339,                 1.1099,               0.005347,               0.005347,               0.005347
                    143,                 1.1862,                 1.0304,                 1.1301,                0.63528,                0.56464,                0.59543,                0.41308,                 1.1178,                 0.8834,                 1.1096,               0.005314,               0.005314,               0.005314
                    144,                 1.1861,                 1.0352,                 1.1272,                0.63674,                0.56055,                0.59492,                0.41304,                 1.1179,                 0.8831,                 1.1099,               0.005281,               0.005281,               0.005281
                    145,                 1.1875,                 1.0426,                 1.1313,                0.63693,                0.56521,                 0.5944,                0.41314,                 1.1179,                 0.8832,                   1.11,               0.005248,               0.005248,               0.005248
                    146,                 1.1856,                 1.0318,                 1.1285,                0.63618,                  0.566,                0.59472,                0.41367,                 1.1179,                0.88311,                 1.1098,               0.005215,               0.005215,               0.005215
                    147,                 1.1844,                  1.035,                 1.1278,                0.63274,                 0.5669,                0.59457,                0.41425,                 1.1174,                0.88301,                 1.1094,               0.005182,               0.005182,               0.005182
                    148,                 1.1763,                 1.0267,                 1.1234,                 0.6343,                0.56829,                0.59511,                0.41504,                 1.1171,                0.88271,                 1.1092,               0.005149,               0.005149,               0.005149
                    149,                 1.1773,                 1.0248,                 1.1223,                0.63715,                0.56613,                0.59549,                0.41475,                 1.1171,                0.88246,                  1.109,               0.005116,               0.005116,               0.005116
                    150,                 1.1838,                 1.0296,                  1.129,                0.62928,                0.57373,                0.59511,                0.41463,                 1.1171,                0.88234,                 1.1089,               0.005083,               0.005083,               0.005083
                    151,                 1.1814,                 1.0272,                 1.1267,                0.62799,                0.57356,                0.59492,                0.41425,                  1.117,                0.88222,                  1.109,                0.00505,                0.00505,                0.00505
                    149,                 1.1508,                 0.9921,                 1.1127,                 0.6341,                0.56742,                0.59489,                0.41474,                  1.117,                0.88263,                  1.109,               0.005116,               0.005116,               0.005116
                    150,                 1.1582,                0.99851,                  1.115,                0.63491,                0.56833,                 0.5955,                0.41506,                 1.1169,                0.88259,                 1.1089,               0.005083,               0.005083,               0.005083
                    151,                 1.1651,                 1.0134,                 1.1209,                0.64137,                0.56827,                 0.5959,                0.41511,                 1.1171,                0.88253,                  1.109,                0.00505,                0.00505,                0.00505
